feature,beta,scaler_center_median,scaler_scale_IQR,imputation_value,variable_type,sullivan_point_weight
Age_p21003_i0,-0.021717753826719168,68.0,2.0,68.0,continuous,
APOE4status,0.37821480632521837,0.0,1.0,0.0,binary,
Hypertension_status_ICD10,0.10039340693179702,1.0,1.0,1.0,binary,
X2188.0.0,0.07404050923265408,0.0,1.0,0.0,binary,
Depression_ICD,0.8194365178262296,0.0,1.0,0.0,binary,
X137.0.0,0.08055687357049195,4.0,4.0,4.0,continuous,
X6142.0.0,-0.18597662301965617,0.0,1.0,0.0,binary,
History_of_Diabetes_ICD,0.16273680079073147,0.0,1.0,0.0,binary,
X398,-0.049296685625680355,4.5,3.0,4.5,continuous,
X400,0.04334899169830976,262.25,194.875,260.75,continuous,
X2257.0.0,-0.03132719305007398,1.0,1.0,1.0,binary,
X2473.0.0,0.27037335417890196,0.0,1.0,0.0,binary,
X1200.0.0,0.0707223879882428,2.0,1.0,2.0,continuous,
X30510.0.0,0.05391285255571922,6943.0,6611.25,6903.0,continuous,
X1835.0.0,-0.01659485704534324,0.0,1.0,0.0,binary,
X2000.0.0,0.10811451032852223,0.0,1.0,0.0,binary,
X3077.0.0,0.034266675655128316,50.0,10.0,50.0,continuous,
X2296.0.0,-0.03593208953739209,1.0,1.0,1.0,continuous,
X48.0.0,-0.04020180342220958,93.0,13.25,93.0,continuous,
X30890.0.0,-0.013750096985126505,29.75,24.900000000000002,29.65,continuous,
X1528.0.0,-0.013942652256121171,4.0,3.0,4.0,continuous,
X1100.0.0,0.0558355775568396,1.0,1.0,1.0,continuous,
X20117.0.0,0.014709039927358709,1.0,1.0,1.0,binary,
X30880.0.0,-0.009838909999033378,327.29999999999995,104.44999999999993,327.4,continuous,
X1468.0.0,-0.056452988072042215,0.0,1.0,0.0,binary,
X30770.0.0,0.08221860480334442,18.1495,7.54575,18.0765,continuous,
X20015.0.0,0.0377232413610269,85.0,7.0,85.0,continuous,
X2316.0.0,0.036273552971014505,0.0,1.0,0.0,binary,
X30620.0.0,-0.038258682948047094,18.685000000000002,9.9375,18.759999999999998,continuous,
X2040.0.0,0.04696271797060166,0.0,1.0,0.0,binary,
StrokeTIA_ICD,0.7003200373232411,0.0,1.0,0.0,binary,
X1757.0.0,-0.21182971979621895,1.0,1.0,1.0,binary,
X30090.0.0,-0.07030202853769454,0.217,0.059,0.218,continuous,
X2492.0.0,-0.08797163399385396,1.0,1.0,1.0,binary,
X1070.0.0,0.012855708489159417,3.0,2.0,3.0,continuous,
X1110.0.0,0.0019329236808975259,2.0,3.0,2.0,continuous,
X30680.0.0,-0.026163094131532418,2.364,0.12200000000000033,2.364,continuous,
X30870.0.0,-0.057751877949977985,1.5705,1.0462500000000001,1.5815000000000001,continuous,
X1538.0.0,-0.09675133763476033,0.0,1.0,0.0,binary,
Hypertension_status_p20002_i0,0.1468632555287286,0.0,1.0,0.0,binary,
X30280.0.0,-0.014032483369855579,0.301,0.08424999999999994,0.302,continuous,
X47.0.0,-0.0785855597138122,24.0,12.0,24.5,continuous,
