feature,beta,scaler_center_median,scaler_scale_IQR,imputation_value,variable_type,sullivan_point_weight
Age_p21003_i0,0.12529648215694136,51.0,13.0,51.0,continuous,10.0
APOE4status,0.05291048778909113,0.0,1.0,0.0,binary,4.2228230895435335
Hypertension_status_ICD10,0.08909317987941026,0.0,1.0,0.0,binary,7.11058908803327
X2188.0.0,0.03763970214497251,0.0,1.0,0.0,binary,3.004050991457727
Depression_ICD,0.0999788962464336,0.0,1.0,0.0,binary,7.979385735762639
X137.0.0,0.05864624298975322,2.0,4.0,2.0,continuous,4.680597729495332
X6142.0.0,-0.08557194004514028,1.0,1.0,1.0,binary,-6.829556470544504
History_of_Diabetes_ICD,0.09911356120032805,0.0,1.0,0.0,binary,7.910322739642631
X398,-0.011659778283660346,4.5,1.0,4.5,continuous,-0.9305750714577744
X400,0.011176342598893283,214.0,140.0,213.5,continuous,0.8919917308527658
X2257.0.0,0.019279087830202567,0.0,1.0,0.0,binary,1.538677503016753
X2473.0.0,0.08844165960616879,0.0,1.0,0.0,binary,7.058590798693797
X1200.0.0,0.02551019516081543,2.0,1.0,2.0,continuous,2.035986543410084
X30510.0.0,0.007691934727715123,7482.0,7899.0,7471.0,continuous,0.6138986981358753
X1835.0.0,-0.061333631509130564,1.0,1.0,1.0,binary,-4.89508008950375
X2000.0.0,-0.017575813918647317,1.0,1.0,1.0,binary,-1.4027380191434708
X3077.0.0,-0.04921826479725796,50.0,10.0,50.0,continuous,-3.9281441864911364
X2296.0.0,0.012420086288720655,1.0,1.0,1.0,continuous,0.9912557858698501
X48.0.0,0.005516877240484058,91.0,16.0,91.0,continuous,0.4403058366454246
X30890.0.0,0.02209140725154612,24.7,19.800000000000004,24.6,continuous,1.7631306858140925
X1528.0.0,0.018463338659373066,4.0,3.0,4.0,continuous,1.4735719903330267
X1100.0.0,-0.02699754919656783,1.0,1.0,1.0,continuous,-2.1546933107628496
X20117.0.0,-0.004468291684794667,1.0,1.0,1.0,binary,-0.3566174890048281
X30880.0.0,0.006837309877365708,310.9,107.60000000000002,310.8,continuous,0.5456904902407049
X1468.0.0,-0.012979716829562131,0.0,1.0,0.0,binary,-1.0359202913058851
X30770.0.0,-0.01888666836319882,20.678,7.629000000000001,20.688,continuous,-1.5073582305002096
X20015.0.0,-0.010923749044567619,86.0,7.0,86.0,continuous,-0.8718320623626901
X2316.0.0,-0.004394355298700042,0.0,1.0,0.0,binary,-0.35071657424474606
X30620.0.0,-0.010410880780357776,21.11,13.280000000000001,21.12,continuous,-0.8308996869774462
X2040.0.0,-0.016323962479733885,0.0,1.0,0.0,binary,-1.3028268789930706
StrokeTIA_ICD,0.23017957907472433,0.0,1.0,0.0,binary,18.37079342629992
X1757.0.0,-0.02144689328345487,1.0,1.0,1.0,binary,-1.711691574595953
X30090.0.0,-0.02958445107033433,0.234,0.06200000000000003,0.234,continuous,-2.361155761203098
X2492.0.0,0.04469270181991042,0.0,1.0,0.0,binary,3.566955835514211
X1070.0.0,0.0007227344008443716,2.0,1.0,2.0,continuous,0.05768193874262993
X1110.0.0,-0.008946217982755024,3.0,2.0,3.0,continuous,-0.7140039232346004
X30680.0.0,0.0030499896366325487,2.371,0.12199999999999989,2.371,continuous,0.24342180914642547
X30870.0.0,0.004709099797848809,1.666,1.2520000000000002,1.662,continuous,0.37583655317236914
X1538.0.0,0.041624933624337855,0.0,1.0,0.0,binary,3.3221151071264816
Hypertension_status_p20002_i0,0.07007529204332115,0.0,1.0,0.0,binary,5.592758139494103
X30280.0.0,-0.006179949565398256,0.297,0.08500000000000002,0.297,continuous,-0.4932261033200835
X47.0.0,-0.03535174145777979,27.0,16.0,27.0,continuous,-2.821447246499676
