feature,beta,scaler_center_median,scaler_scale_IQR,imputation_value,variable_type,sullivan_point_weight
Age_p21003_i0,0.2492415705607175,67.0,3.0,67.0,continuous,9.999999999999998
APOE4status,0.28239406470583656,0.0,1.0,0.0,binary,11.33013502003442
Hypertension_status_ICD10,0.05133978747107853,1.0,1.0,1.0,binary,2.059840473464345
X2188.0.0,0.14490300069825368,1.0,1.0,1.0,binary,5.813757326768008
X6142.0.0,-0.39390394954411373,0.0,1.0,0.0,binary,-15.804103170187462
X2473.0.0,0.23616706417492017,0.0,1.0,0.0,binary,9.475428342214997
X137.0.0,0.0579550886109945,4.0,4.0,4.0,continuous,2.3252577200750753
X1200.0.0,-0.07920442560377933,2.0,1.0,2.0,continuous,-3.1778176259118225
History_of_Diabetes_ICD,0.13861267449440212,0.0,1.0,0.0,binary,5.561378632888803
Depression_ICD,0.41768086516792624,0.0,1.0,0.0,binary,16.75807387300087
X400,0.10570450633421781,307.5,269.0,306.0,continuous,4.241046391114248
X30510.0.0,0.07382626726584929,9703.0,8092.0,9700.0,continuous,2.9620366738888184
X1835.0.0,-0.23958643610850525,0.0,1.0,0.0,binary,-9.612619418562836
X48.0.0,-0.16038811207660456,95.0,15.0,95.0,continuous,-6.435046598197092
X398,-0.1609662843200396,4.5,4.5,4.5,continuous,-6.4582438618852605
X3077.0.0,0.11004136505921691,50.0,10.0,50.0,continuous,4.415048613746793
X2040.0.0,0.0026017924323882124,0.0,1.0,0.0,binary,0.10438838218419877
X2257.0.0,-0.029676457464857642,0.0,1.0,0.0,binary,-1.1906704567016917
X2000.0.0,0.0010070381210056064,0.0,1.0,0.0,binary,0.040404099474260165
X30880.0.0,-0.17147459613233443,326.2,108.39999999999998,326.5,continuous,-6.879855384740551
X2296.0.0,-0.040176408799878584,1.0,1.0,1.0,continuous,-1.6119465428457187
X1528.0.0,-0.1277769982721804,4.0,3.0,4.0,continuous,-5.126632687505585
X1070.0.0,0.10356973155949717,3.0,3.0,3.0,continuous,4.155395559677179
X30870.0.0,-0.0966816097344757,1.094,0.7260000000000001,1.098,continuous,-3.879032278482742
X2080.0.0,0.0013965308543785835,1.0,1.0,1.0,continuous,0.056031217073332314
X1100.0.0,-0.26310890853864094,1.0,1.0,1.0,continuous,-10.556381423320602
X2316.0.0,0.2021673508297564,0.0,1.0,0.0,binary,8.111301432379099
X30650.0.0,0.03401859585843318,25.2,8.0,25.1,continuous,1.3648845087078256
31-0.0,0.14968947394110863,0.0,1.0,0.0,binary,6.005798856280395
X30620.0.0,-0.0009977106290853122,19.27,8.840000000000002,19.32,continuous,-0.04002986447408302
X20015.0.0,0.08110971325446632,83.0,6.0,83.0,continuous,3.2542610396810696
X30520.0.0,0.08697345126941225,51.0,36.0,51.3,continuous,3.4895242825564177
X30830.0.0,0.04816689755838217,44.67,26.15,44.45,continuous,1.9325386792428463
X1538.0.0,-0.0731153376922207,1.0,1.0,1.0,binary,-2.933512958040406
X1110.0.0,-0.12223167596441964,3.0,2.0,3.0,continuous,-4.90414482983058
X22039.0.0,0.03535985915049312,160.0,840.0,160.0,continuous,1.4186982962330168
X47.0.0,0.04197655327050404,28.0,15.0,27.0,continuous,1.6841714315982523
X92.0.0,0.23626978386083855,1976.0,1955.0,1974.0,continuous,9.479549632483202
StrokeTIA_ICD,0.6930677306353962,0.0,1.0,0.0,binary,27.80706802144623
X30280.0.0,0.0231121461329538,0.332,0.08300000000000002,0.332,continuous,0.9272990087872791
X30890.0.0,0.024804507684337316,36.0,25.099999999999998,36.1,continuous,0.9951994616521931
X30680.0.0,0.0947716908540355,2.383,0.13100000000000023,2.384,continuous,3.80240305181949
X30770.0.0,-0.017998260709820007,20.015,7.417000000000002,19.942,continuous,-0.7221211401183764
