feature,beta,scaler_center_median,scaler_scale_IQR,imputation_value,variable_type,sullivan_point_weight
Age_p21003_i0,0.110300824268928,50.0,10.0,49.0,continuous,10.0
APOE4status,0.05735151895005688,0.0,1.0,0.0,binary,5.199554883672156
Hypertension_status_ICD10,0.10840204411242463,0.0,1.0,0.0,binary,9.82785440008373
X2188.0.0,0.06693030948552564,0.0,1.0,0.0,binary,6.067979086207071
X6142.0.0,-0.12465605234917775,1.0,1.0,1.0,binary,-11.301461541688012
X2473.0.0,0.08482911622230413,0.0,1.0,0.0,binary,7.690705557691893
X137.0.0,0.058866839268980335,2.0,3.0,2.0,continuous,5.3369355722542196
X1200.0.0,-0.006672883655403833,2.0,1.0,2.0,continuous,-0.6049713317766747
History_of_Diabetes_ICD,0.12930940621726503,0.0,1.0,0.0,binary,11.723339972690649
Depression_ICD,0.30026233380849665,0.0,1.0,0.0,binary,27.22212964396507
X400,0.02602900988324467,242.0,171.0,241.5,continuous,2.3598200698648
X30510.0.0,-4.7111699502025215e-05,11544.0,9402.0,11543.0,continuous,-0.0042712010371890475
X1835.0.0,-0.07829511185174622,1.0,1.0,1.0,binary,-7.098325182126688
X48.0.0,0.010960870533356364,92.0,16.0,92.0,continuous,0.9937251698711074
X398,-0.006296784436004428,4.5,1.0,4.5,continuous,-0.570873742579841
X3077.0.0,-0.016189415017370756,50.0,10.0,50.0,continuous,-1.467751045803504
X2040.0.0,-0.020849615821571656,0.0,1.0,0.0,binary,-1.8902502279346105
X2257.0.0,0.0624514857787929,0.0,1.0,0.0,binary,5.66192376101632
X2000.0.0,-0.03222624648281146,0.0,1.0,0.0,binary,-2.9216686907288754
X30880.0.0,0.018769385921281544,300.7,105.9,300.3,continuous,1.701654184878918
X2296.0.0,0.04560169464786643,1.0,1.0,1.0,continuous,4.134302254775855
X1528.0.0,-9.28359317928818e-05,4.0,3.0,4.0,continuous,-0.00841661269606975
X1070.0.0,0.02316276014172054,3.0,2.0,3.0,continuous,2.0999625610454795
X30870.0.0,-0.0024775890759552942,1.049,0.7309999999999999,1.0485,continuous,-0.2246210844186082
X2080.0.0,0.05604364197581702,2.0,2.0,2.0,continuous,5.080981248079817
X1100.0.0,-0.03318836852821662,1.0,1.0,1.0,continuous,-3.0088957855200595
X2316.0.0,0.012432197242265297,0.0,1.0,0.0,binary,1.12711734700676
X30650.0.0,0.006105672719904902,24.9,8.600000000000001,24.9,continuous,0.5535473338819721
31-0.0,0.034264460330162935,0.0,1.0,0.0,binary,3.1064555099444817
X30620.0.0,-0.003045001648726087,19.29,11.759999999999998,19.28,continuous,-0.27606336298103906
X20015.0.0,-0.01550212800457296,86.0,6.0,86.0,continuous,-1.4054408121898274
X30520.0.0,-0.0002034101551814809,55.3,41.4,55.3,continuous,-0.018441399375723616
X30830.0.0,-0.010788960121659483,42.17,28.94,42.165,continuous,-0.9781395735860116
X1538.0.0,-0.014632553824137131,1.0,1.0,1.0,binary,-1.3266042136241005
X1110.0.0,-0.02929648651124927,4.0,1.0,4.0,continuous,-2.6560532711723495
X22039.0.0,0.0031187832418695664,240.0,960.0,248.0,continuous,0.2827524873491027
X47.0.0,-0.025266753472346543,30.0,16.0,30.0,continuous,-2.2907130241151106
X92.0.0,-0.006903135665947248,1990.0,1957.0,1990.0,continuous,-0.6258462447312715
StrokeTIA_ICD,0.5239993484558715,0.0,1.0,0.0,binary,47.50638555322958
X30280.0.0,0.008708761034883179,0.325,0.08600000000000002,0.325,continuous,0.7895463241190352
X30890.0.0,-0.00015949800413078168,30.5,21.1,30.5,continuous,-0.014460273092964786
X30680.0.0,-0.008183955832741008,2.374,0.1280000000000001,2.374,continuous,-0.7419668789407631
X30770.0.0,-0.002824156696680938,22.251,7.721999999999998,22.267,continuous,-0.2560413048043295
