feature,beta,scaler_center_median,scaler_scale_IQR,imputation_value,variable_type,sullivan_point_weight
Age_p21003_i0,0.013875635158361736,67.0,2.0,67.0,continuous,10.0
APOE4status,0.0746588675605649,0.0,1.0,0.0,binary,53.80572976190857
X2188.0.0,0.03387276206298114,0.0,1.0,0.0,binary,24.411683988800135
Depression_ICD,0.14573442695400668,0.0,1.0,0.0,binary,105.02901329614751
Hypertension_status_ICD10,0.005754223868394319,0.0,1.0,0.0,binary,4.1469985357223145
X137.0.0,0.028306452584070434,3.0,4.0,3.0,continuous,20.40011304780697
X2473.0.0,0.042987388242214215,0.0,1.0,0.0,binary,30.980483236696486
X6142.0.0,-0.029074561450887687,0.0,1.0,0.0,binary,-20.953679683172393
X30510.0.0,0.018734072854673565,7229.5,6937.0,7220.5,continuous,13.501416433094985
X2296.0.0,0.03927379521595975,1.0,1.0,1.0,continuous,28.304142309689208
History_of_Diabetes_ICD,0.02784305373385479,0.0,1.0,0.0,binary,20.066147182513664
X1200.0.0,-0.012449694689688585,2.0,1.0,2.0,continuous,-8.97234220098829
X400,0.024756913130258577,223.5,117.5,223.5,continuous,17.842003517467496
StrokeTIA_ICD,0.07242783425238053,0.0,1.0,0.0,binary,52.19785143221647
X1835.0.0,-0.03161923504970354,0.0,1.0,0.0,binary,-22.78759472185254
X1100.0.0,-0.026776390626670362,1.0,1.0,1.0,continuous,-19.297416169474857
X2247.0.0,-0.010523420206256807,0.0,1.0,0.0,binary,-7.584099816803834
X30890.0.0,-0.01730499496090058,50.2,29.0,50.2,continuous,-12.471497530311066
X92.0.0,-0.0019108177243023603,1964.0,1955.0,1964.0,continuous,-1.3771028875394313
X1757.0.0,-0.015899295519638604,1.0,1.0,1.0,binary,-11.458427191390493
X48.0.0,0.0009500855940076766,92.0,17.0,92.0,continuous,0.684715029736953
X1528.0.0,0.012927154157280206,2.0,2.0,2.0,continuous,9.316441380696036
X30680.0.0,-0.00146371583920855,2.375,0.11999999999999966,2.375,continuous,-1.0548820450402845
X30880.0.0,-0.0066866899958644005,315.6,106.80000000000001,315.6,continuous,-4.8190154321223035
X20015.0.0,-0.006287799848367986,88.0,6.200000000000003,88.0,continuous,-4.531540197335638
31-0.0,0.01631825528693945,0.0,1.0,0.0,binary,11.76036635490934
X2316.0.0,-0.009050070082255475,0.0,1.0,0.0,binary,-6.522274460929251
X2080.0.0,0.016075764289180578,1.0,1.0,1.0,continuous,11.585606068269243
X30870.0.0,-0.012335717763837024,1.573,1.0419999999999998,1.574,continuous,-8.890200429061638
X87.0.0,0.005507711401050515,62.0,1936.0,62.0,continuous,3.9693400252971176
X1468.0.0,-0.008853122868288717,0.0,1.0,0.0,binary,-6.380337020430843
X30770.0.0,0.005356833767088629,19.536,7.167249999999999,19.535,continuous,3.860604365819242
X2492.0.0,0.02541767877241937,1.0,1.0,1.0,binary,18.318209207959875
X1150.0.0,0.009727877190927221,1.0,1.0,1.0,binary,7.010761727231642
X3077.0.0,0.0015152103878589877,50.0,1.0,50.0,continuous,1.0919935343975165
Hchol_p20002_i0,0.001582746540940362,0.0,1.0,0.0,binary,1.1406660112323344
X22033.0.0,-0.0027233954607139526,11.0,6.0,11.0,continuous,-1.9627176915737656
X30620.0.0,-0.006843927388932571,19.69,9.98,19.7,continuous,-4.932334491951731
X22039.0.0,-0.00013388521029892306,160.0,720.0,160.0,continuous,-0.096489428246635
X398,-0.04174053907509105,4.5,1.0,4.5,continuous,-30.081894341202368
X1538.0.0,0.020671837760066567,0.0,1.0,0.0,binary,14.897939823395618
X2257.0.0,0.010666667210029988,0.0,1.0,0.0,binary,7.687336174735064
