feature,beta,scaler_center_median,scaler_scale_IQR,imputation_value,variable_type,sullivan_point_weight
Age_p21003_i0,0.0850602638000061,56.0,12.0,56.0,continuous,10.0
APOE4status,0.0696802652833604,0.0,1.0,0.0,binary,8.191870348203105
X2188.0.0,0.07614543699320599,0.0,1.0,0.0,binary,8.95193990606934
Depression_ICD,0.20081910236729816,0.0,1.0,0.0,binary,23.60903827425983
Hypertension_status_ICD10,0.06002680666279822,0.0,1.0,0.0,binary,7.0569739595369
X137.0.0,0.048069944205618304,2.0,3.0,2.0,continuous,5.651280875243988
X2473.0.0,0.08730187029622807,0.0,1.0,0.0,binary,10.263531571156708
X6142.0.0,-0.10079783522059307,1.0,1.0,1.0,binary,-11.850167248198193
X30510.0.0,0.009241033989555409,7520.0,7728.0,7514.0,continuous,1.0864102198510635
X2296.0.0,0.05098919613609001,1.0,1.0,1.0,continuous,5.994478956234597
History_of_Diabetes_ICD,0.12281456561495444,0.0,1.0,0.0,binary,14.43853570730939
X1200.0.0,-0.00694912489002037,2.0,1.0,2.0,continuous,-0.8169648881361535
X400,0.03437146057980458,183.0,87.5,183.0,continuous,4.040836348758433
StrokeTIA_ICD,0.2863272652532105,0.0,1.0,0.0,binary,33.66169495152565
X1835.0.0,-0.05642639726690905,0.0,1.0,0.0,binary,-6.633696481306351
X1100.0.0,-0.02736286885825967,2.0,1.0,2.0,continuous,-3.2168803194162803
X2247.0.0,0.025940268060020793,0.0,1.0,0.0,binary,3.049634094835588
X30890.0.0,-0.01185196523056704,47.0,29.799999999999997,47.0,continuous,-1.393360977392853
X92.0.0,-0.0016084556761436833,1975.0,1962.0,1975.0,continuous,-0.18909601314257482
X1757.0.0,-0.0204631537660286,1.0,1.0,1.0,binary,-2.405724230310597
X48.0.0,0.00885957697762161,89.0,19.0,89.0,continuous,1.0415647191563229
X1528.0.0,0.0005280329974919723,2.0,3.0,2.0,continuous,0.06207751703350988
X30680.0.0,-0.006489190493366779,2.376,0.11699999999999999,2.376,continuous,-0.7628932951141768
X30880.0.0,-0.00466313994692388,300.1,110.19999999999999,300.1,continuous,-0.548216022217832
X20015.0.0,-0.020279095084720127,89.0,7.0,89.0,continuous,-2.384085609280543
31-0.0,0.029310001486618713,0.0,1.0,0.0,binary,3.445792450812575
X2316.0.0,-0.0026259701482436995,0.0,1.0,0.0,binary,-0.30871878723746815
X2080.0.0,0.010685581498326326,2.0,1.0,2.0,continuous,1.2562365810962322
X30870.0.0,-0.002895651361682553,1.473,1.1070000000000002,1.472,continuous,-0.34042351061722725
X87.0.0,-0.005215248143104922,58.0,1957.0,58.0,continuous,-0.6131239088755974
X1468.0.0,-0.004065851410072359,0.0,1.0,0.0,binary,-0.47799656719052735
X30770.0.0,-0.00799188569326822,21.53,7.237250000000003,21.54,continuous,-0.9395557145294965
X2492.0.0,0.04911306684521611,0.0,1.0,0.0,binary,5.773914240460254
X1150.0.0,-0.0005695694128644203,1.0,1.0,1.0,binary,-0.06696069203401406
X3077.0.0,-0.00012739187379186287,50.0,1.0,50.0,continuous,-0.014976661028395934
Hchol_p20002_i0,0.02104520270891102,0.0,1.0,0.0,binary,2.474152062165308
X22033.0.0,-0.006752887763297178,10.0,7.0,10.0,continuous,-0.7938945239077301
X30620.0.0,-0.004372413347570799,20.21,12.249999999999998,20.21,continuous,-0.5140371252376112
X22039.0.0,-0.00031092228257867166,240.0,960.0,240.0,continuous,-0.03655317638206636
X398,-0.05607572740037575,4.5,1.0,4.5,continuous,-6.592470431577915
X1538.0.0,3.189529131916512e-05,0.0,1.0,0.0,binary,0.0037497287093016087
X2257.0.0,0.024372666853137073,0.0,1.0,0.0,binary,2.865341084580004
