race,feature,feature_description,category,min,max,mean,is_binary,units
Asian,Unnamed: 0_x,Unnamed: 0_x,Other,39.0,490162.0,243946.124594485,,
Asian,AF_p20002_i0,History of Atrial Fibrillation determined by self report non-cancer codes,Medical condition,0.0,1.0,0.001419302514193,,
Asian,AF_ICD10,History of Atrial Fibrillation determined by ICD10 codes,Medical condition,0.0,1.0,0.0084144363341443,,
Asian,Age_p21003_i0,Age at baseline,Socio-demographics,40.0,72.0,53.32816301703163,False,years
Asian,Depression_p20002_i0,Depression determined by self-reported non-cancer illness codes,Medical condition,0.0,1.0,0.0392335766423357,,
Asian,Depression_ICD,Depression determined by ICD codes,Medical condition,0.0,1.0,0.048661800486618,True,
Asian,Hchol_p20002_i0,High cholesterol determined by self-reported non-cancer illness codes,Medical condition,0.0,1.0,0.2846715328467153,True,
Asian,Hchol_ICD10,High cholesterol determined by ICD codes,Medical condition,0.0,1.0,0.045316301703163,,
Asian,Hchol_med,High cholesterol determined by self reported use of statins,Medical condition,0.0,1.0,0.2482765612327656,,
Asian,History_of_Diabetes_ICD,History of Diabetes determined by ICD codes,Medical condition,0.0,1.0,0.2397607461476074,True,
Asian,Hypertension_status_p20002_i0,Hypertension status determined by self-reported non-cancer illness codes,Medical condition,0.0,1.0,0.2846715328467153,True,
Asian,Hypertension_status_ICD10,Hypertension status determined by ICD codes,Medical condition,0.0,1.0,0.3729724249797242,True,
Asian,Hypertension_status_med,Hypertension status determined by self reported use of antihypertensive medication,Medical condition,0.0,1.0,0.0161192214111922,,
Asian,Medications_ATC_Antihypertensive,Self-reported anti-hypertensive medications based on the ATC codes reported in Supplementary Data 1 of Wu et al. (2019),Medication history,0.0,1.0,0.0161192214111922,,
Asian,Medications_ATC_Statins,Self-reported statin-usemedications based on the ATC codes reported in Supplementary Data 1 of Wu et al. (2019),Medication history,0.0,1.0,0.2482765612327656,,
Asian,Medications_ATC_Aspirin,Self-reported aspirin-use medications based on the ATC codes reported in Supplementary Data 1 of Wu et al. (2019),Medication history,0.0,1.0,0.1804541768045417,,
Asian,Medications_ATC_NSAIDs_excluding_Aspirin,Self-reported NSAIDs excluding aspirin medications based on the ATC codes reported in Supplementary Data 1 of Wu et al. (2019),Medication history,0.0,1.0,0.0398418491484184,,
Asian,Medications_ATC_Hormone_replacement_therapy,Self-reported horone replacement therapy medications based on the ATC codes reported in Supplementary Data 1 of Wu et al. (2019),Medication history,0.0,1.0,0.0227088402270884,,
Asian,StrokeTIA_p20002_i0,History of stroke and/or atransient ischemic stroke (TIA) determined by self-reported non-cancer illness codes,Medical condition,0.0,1.0,0.0154095701540957,,
Asian,StrokeTIA_ICD,History of stroke and/or a transient ischemic stroke (TIA) determined by ICD codes,Medical condition,0.0,1.0,0.0287915652879156,True,
Asian,TBI_ICD10,History of traumatic brain injury (TBI) determined by ICD codes,Medical condition,0.0,1.0,0.0077047850770478,,
Asian,31-0.0,Sex,Socio-demographics,0.0,1.0,0.5359894566098946,True,
Asian,X2306.0.0,Weight change compared with 1 year ago,Other health,1.0,3.0,2.1548053527980535,,
Asian,X1628.0.0,Alcohol intake versus 10 years previously,Alcohol,1.0,3.0,1.656528791565288,,
Asian,X2267.0.0,Use of sun/uv protection,Sun Exposoure,1.0,4.0,1.772810218978102,,
Asian,X1687.0.0,Comparative body size at age 10,Early life factors,1.0,3.0,1.687956204379562,,
Asian,X1697.0.0,Comparative height size at age 10,Early life factors,1.0,3.0,1.9869221411192215,,
Asian,Household_occupancy_p709_i0,Household occupancy,Socio-demographics,1.0,45.0,3.5614355231143553,,people
Asian,X23101.0.0,Whole body fat-free mass,Body composition by impedance,25.8,96.3,50.03596918085969,,Kg
Asian,X23114.0.0,Leg predicted mass (right),Body composition by impedance,4.0,20.4,8.098246147607462,,Kg
Asian,X23118.0.0,Leg predicted mass (left),Body composition by impedance,3.9,20.0,8.018400243309003,,Kg
Asian,X23130.0.0,Trunk predicted mass,Body composition by impedance,12.1,49.5,26.52323600973236,,Kg
Asian,X404,Duration to first press of snap-button in each round (averaged from 4 repeats),Reaction time,97.75,2023.75,613.1535634630982,,milliseconds
Asian,X403,Number of times snap-button pressed (averaged from 12 repeats),Reaction time,0.0,24.4166666666667,0.5480535279805352,,
Asian,X400,Time to complete round (averaged from 2 repeats),Pairs matching,61.0,6481.0,267.1191200324412,False,deciseconds
Asian,X399,Number of incorrect matches in round (averaged from 2 repeats),Pairs matching,0.0,97.0,2.775141930251419,,
Asian,X398,Number of correct matches in round (averaged from 2 repeats),Pairs matching,0.0,4.5,3.65779602595296,False,
Asian,X3064,"Peak expiratory flow (PEF, maximum values from 2 measurments)",Spirometry,11.0,1237.0,355.3812854825629,,litres/min
Asian,X4080,"Systolic blood pressure, automated reading  (averaged from 2 repeats)",Blood pressure,65.0,241.0,134.9557481751825,,mmHg
Asian,X4079,"Diastolic blood pressure, automated reading  (averaged from 2 repeats)",Blood pressure,42.5,130.5,82.46867396593674,,mmHg
